province,year,month,n_events_mm,onset_mm,n_events_acled,onset_acled,source
Hormozgan,2009,5,0.0,0.0,,,MM
Hormozgan,2009,6,0.0,0.0,,,MM
Hormozgan,2009,7,0.0,0.0,,,MM
Hormozgan,2009,8,0.0,0.0,,,MM
Hormozgan,2009,9,1.0,1.0,,,MM
Hormozgan,2009,10,0.0,0.0,,,MM
Hormozgan,2009,11,0.0,0.0,,,MM
Hormozgan,2009,12,1.0,1.0,,,MM
Hormozgan,2010,1,0.0,0.0,,,MM
Hormozgan,2010,2,1.0,1.0,,,MM
Hormozgan,2010,3,0.0,0.0,,,MM
Hormozgan,2010,4,0.0,0.0,,,MM
Hormozgan,2010,5,0.0,0.0,,,MM
Hormozgan,2010,6,0.0,0.0,,,MM
Hormozgan,2010,7,0.0,0.0,,,MM
Hormozgan,2010,8,0.0,0.0,,,MM
Hormozgan,2010,9,0.0,0.0,,,MM
Hormozgan,2010,10,0.0,0.0,,,MM
Hormozgan,2010,11,0.0,0.0,,,MM
Hormozgan,2010,12,0.0,0.0,,,MM
Hormozgan,2011,1,0.0,0.0,,,MM
Hormozgan,2011,2,0.0,0.0,,,MM
Hormozgan,2011,3,1.0,1.0,,,MM
Hormozgan,2011,4,0.0,0.0,,,MM
Hormozgan,2011,5,0.0,0.0,,,MM
Hormozgan,2011,6,0.0,0.0,,,MM
Hormozgan,2011,7,0.0,0.0,,,MM
Hormozgan,2011,8,0.0,0.0,,,MM
Hormozgan,2011,9,0.0,0.0,,,MM
Hormozgan,2011,10,0.0,0.0,,,MM
Hormozgan,2011,11,0.0,0.0,,,MM
Hormozgan,2011,12,0.0,0.0,,,MM
Hormozgan,2012,1,0.0,0.0,,,MM
Hormozgan,2012,2,0.0,0.0,,,MM
Hormozgan,2012,3,0.0,0.0,,,MM
Hormozgan,2012,4,0.0,0.0,,,MM
Hormozgan,2012,5,0.0,0.0,,,MM
Hormozgan,2012,6,0.0,0.0,,,MM
Hormozgan,2012,7,0.0,0.0,,,MM
Hormozgan,2012,8,0.0,0.0,,,MM
Hormozgan,2012,9,0.0,0.0,,,MM
Hormozgan,2012,10,0.0,0.0,,,MM
Hormozgan,2012,11,0.0,0.0,,,MM
Hormozgan,2012,12,0.0,0.0,,,MM
Hormozgan,2013,1,0.0,0.0,,,MM
Hormozgan,2013,2,0.0,0.0,,,MM
Hormozgan,2013,3,0.0,0.0,,,MM
Hormozgan,2013,4,0.0,0.0,,,MM
