province;year;month;n_events_mm;onset_mm;n_events_acled;onset_acled;source;price_usd_2015;benchmark_2015_adj;bmgap2015adj;price_growth_3m;fuel_dependency_hbsir;subsidy_x_fueldep_hbsir;onset;time_id;brent_shock;unemployment_rate;inflation_rate;s_t;s_dummy;brent_x_fueldep;bmgap_c;fueldep_c;subsidy_x_fueldep_c;brent_x_fueldep_c;urbanization_cluster
Khuzestan;2007;9;0;0;NA;NA;MM;0.1240376003;0.7387557147;-0.6147181144;-0.01035610568;0.1973891533992203;-0.12133868818058106;0;200709;13.196.279.495.675.900;11. Jun;173.410.404.624.277;0.350659151017574;0;2.604.802.437.670.960;-0.17486925090723954;-0.026556453158434107;0.0046439070705685676;-0.3504463782925229;2
Khuzestan;2007;10;0;0;NA;NA;MM;0.1236431506;0.7179919636;-0.594348813;-0.006997159431;0.1973891533992203;-0.1173180090219015;0;200710;17.095.239.395.425.300;11. Jun;173.410.404.624.277;0.42178210744519;0;33.744.148.314.200.000;-0.1544999495072395;-0.026556453158434107;0.00410297067206944;-0.45398892423683;2
Khuzestan;2007;11;0;0;NA;NA;MM;0.1236430406;0.82017847;-0.6965354294;-0.01285887595;0.1973891533992203;-0.1374885387218284;0;200711;25.125.206.927.892.800;11. Jun;173.410.404.624.277;0.42178210744519;0;4.959.443.324.476.990;-0.25668656590723954;-0.026556453158434107;0.006816684763914916;-0.6672363808765505;2
Khuzestan;2007;12;0;0;NA;NA;MM;0.1224426162;0.7878570603;-0.6654144441;-0.003209110056;0.1973891533992203;-0.1313455937805118;0;200712;20.833.353.145.710.100;11. Jun;173.410.404.624.277;0.42178210744519;0;4.112.277.939.898.700;-0.22556558060723947;-0.026556453158434107;0.005990221775551148;-0.5532599669471671;2
Khuzestan;2008;1;0;0;NA;NA;MM;0.1232463662;0.8687102339;-0.7454638677;-0.008487575292;0.2014074854691456;-0.1501420031015608;0;200801;19.713.378.208.366.700;12. May;254.105.090.311.987;0.218657321703917;0;39.704.219.350.494.000;-0.30561500420723947;-0.022538121088508806;0.006887987971287891;-0.44430250512374087;2
Khuzestan;2008;2;0;0;NA;NA;MM;0.122593611;0.7711874975;-0.6485938866;0.02923767143;0.2014074854691456;-0.13063166379076616;0;200802;19.313.727.414.715.900;12. May;254.105.090.311.987;0.218657321703917;0;3.889.929.273.634.440;-0.20874502310723947;-0.022538121088508806;0.004704720607414532;-0.43529512714332097;2
Khuzestan;2008;3;0;0;NA;NA;MM;0.1260225532;0.8591535635;-0.7331310103;0.02379023603;0.2014074854691456;-0.1476580733039773;0;200803;24.843.501.537.522.900;12. May;254.105.090.311.987;0.218657321703917;0;5.003.667.174.921.350;-0.2932821468072396;-0.022538121088508806;0.006610028537839382;-0.5599258459152476;2
Khuzestan;2008;4;0;0;NA;NA;MM;0.1261784263;0.8390896044;-0.712911178;0.008407961722;0.2014074854691456;-0.14358564772382648;0;200804;2.681.394.471.934.110;12. May;254.105.090.311.987;0.247269960890033;0;5.400.529.181.431.180;-0.27306231450723956;-0.022538121088508806;0.00615431150907264;-0.6043359329450928;2
Khuzestan;2008;5;0;0;NA;NA;MM;0.1236243734;0.9330641087;-0.8094397354;-0.02661311512;0.2014074854691456;-0.16302722174572457;0;200805;3.707.425.942.656.370;12. May;254.105.090.311.987;0.247269960890033;0;7.467.033.366.734.970;-0.36959087190723955;-0.022538121088508806;0.008329883824252912;-0.8355841482226833;2
Khuzestan;2008;6;0;0;NA;NA;MM;0.1226687005;1.073.304.617;-0.9506359167;-0.02389548242;0.2014074854691456;-0.19146518957920317;0;200806;4.196.742.501.097.930;12. May;254.105.090.311.987;0.247269960890033;0;8.452.553.543.076.280;-0.5107870532072396;-0.022538121088508806;0.011512180455627356;-0.945866906670366;2
