Months,Price_raw,unit_raw,source,price_usd_per_liter,fx_rial_per_usd,notes,benchmark_price_usd_per_gallon,benchmark_usd_per_liter_ross,cpi,deflator,price_usd_2015,benchmark_usd_2015,bmgap2015adj
2014-05,7000,rial_per_liter,ross/iran_rial_series,0.273629896,25582,converted from rial using BIS end-of-period IRR/USD,2.862,0.8561426684,236.92,1.00,0.2737269123,0.8564462164,0.5824157561
2014-06,7000,rial_per_liter,ross/iran_rial_series,0.2728938443,25651,converted from rial using BIS end-of-period IRR/USD,2.896,0.8651254954,237.23,1.00,0.2726304188,0.8642903864,0.5924950766
2014-07,7000,rial_per_liter,ross/iran_rial_series,0.2661293389,26303,converted from rial using BIS end-of-period IRR/USD,2.802,0.8402906209,237.50,1.00,0.2655735441,0.8385357255,0.5747170768
2014-08,7000,rial_per_liter,ross/iran_rial_series,0.263148002,26601,converted from rial using BIS end-of-period IRR/USD,2.705,0.814663144,237.46,1.00,0.2626404563,0.8130918658,0.5520226877
2014-09,7000,rial_per_liter,ross/iran_rial_series,0.2624868757,26668,converted from rial using BIS end-of-period IRR/USD,2.721,0.8188903567,237.48,1.00,0.2619618511,0.8172524173,0.5569285056
2014-10,7000,rial_per_liter,ross/iran_rial_series,0.2621133828,26706,converted from rial using BIS end-of-period IRR/USD,2.398,0.7335535007,237.43,1.00,0.2616408876,0.7322311703,0.4719126131
2014-11,7000,rial_per_liter,ross/iran_rial_series,0.2610381862,26816,converted from rial using BIS end-of-period IRR/USD,2.165,0.671994716,236.98,1.00,0.2610591148,0.6720485928,0.4109356012
2014-12,7000,rial_per_liter,ross/iran_rial_series,0.2579408947,27138,converted from rial using BIS end-of-period IRR/USD,1.683,0.5446499339,236.25,1.00,0.2587597477,0.5463789667,0.2858901862
2015-01,7000,rial_per_liter,ross/iran_rial_series,0.2542680712,27530,converted from rial using BIS end-of-period IRR/USD,1.364,0.4603698811,234.75,1.01,0.2567105923,0.464792234,0.2036592888
2015-02,7000,rial_per_liter,ross/iran_rial_series,0.2526346182,27708,converted from rial using BIS end-of-period IRR/USD,1.607,0.5245706737,235.34,1.01,0.2544165928,0.5282707668,0.270154081
2015-03,7000,rial_per_liter,ross/iran_rial_series,0.2492433683,28085,converted from rial using BIS end-of-period IRR/USD,1.644,0.534346103,235.98,1.00,0.2503270535,0.5366693863,0.2840190495
2015-04,7000,rial_per_liter,ross/iran_rial_series,0.247866577,28241,converted from rial using BIS end-of-period IRR/USD,1.793,0.5737120211,236.22,1.00,0.2486850271,0.575606406,0.325026994
2015-05,7000,rial_per_liter,ross/iran_rial_series,0.2428110583,28829,converted from rial using BIS end-of-period IRR/USD,1.938,0.6120211361,237.00,1.00,0.2428120828,0.6120237184,0.3692090532
2015-06,10000,rial_per_liter,ross/iran_rial_series,0.3410757529,29319,converted from rial using BIS end-of-period IRR/USD,2.005,0.6297225892,237.66,1.00,0.3401357233,0.6279870279,0.2895868659
2015-07,0.34,usd_per_liter,trading_economics,0.34,,,1.86,0.5914134742,238.03,1.00,0.3385259249,0.5888493922,0.2528875494
2015-08,0.33,usd_per_liter,trading_economics,0.33,,,1.62,0.528005284,238.03,1.00,0.3285706604,0.5257183177,0.1994346236
2015-09,0.33,usd_per_liter,trading_economics,0.33,,,1.46,0.4857331572,237.50,1.00,0.3293108152,0.4847187333,0.156422342
2015-10,0.33,usd_per_liter,trading_economics,0.33,,,1.397,0.4690885073,237.73,1.00,0.3289852902,0.4676461173,0.140103217
2015-11,0.33,usd_per_liter,trading_economics,0.33,,,1.377,0.4638044914,238.02,1.00,0.3285927476,0.4618266429,0.1352117438
2015-12,0.33,usd_per_liter,trading_economics,0.33,,,1.276,0.4371202114,237.76,1.00,0.3289465472,0.4357248007,0.1081736642
2016-01,0.33,usd_per_liter,trading_economics,0.33,,,1.121,0.3961690885,237.65,1.00,0.3290974198,0.3950855297,0.06707166875
2016-02,0.33,usd_per_liter,trading_economics,0.33,,,1.058,0.3795244386,237.34,1.00,0.3295355951,0.3789903386,0.04998884347
2016-03,0.33,usd_per_liter,trading_economics,0.33,,,1.201,0.4173051519,238.08,1.00,0.3285057964,0.4154156402,0.08879935554
2016-04,0.33,usd_per_liter,trading_economics,0.33,,,1.448,0.4825627477,238.99,0.99,0.3272522093,0.4785446221,0.1553105384
2016-05,0.33,usd_per_liter,trading_economics,0.33,,,1.566,0.5137384412,239.56,0.99,0.3264803784,0.5082591535,0.1872580629
2016-06,0.33,usd_per_liter,trading_economics,0.33,,,1.506,0.4978863937,240.22,0.99,0.3255765917,0.4912125911,0.172309802
2016-07,0.32,usd_per_liter,trading_economics,0.32,,,1.354,0.4577278732,240.10,0.99,0.3158697382,0.4518199483,0.141858135
2016-08,0.32,usd_per_liter,trading_economics,0.32,,,1.379,0.464332893,240.55,0.99,0.3152867031,0.4574937093,0.1490461899
2016-09,0.32,usd_per_liter,trading_economics,0.32,,,1.438,0.4799207398,241.18,0.98,0.3144618038,0.4716148173,0.1654589359
2016-10,0.31,usd_per_liter,trading_economics,0.31,,,1.522,0.5021136063,241.74,0.98,0.3039228761,0.4922703593,0.1981907302
2016-11,0.31,usd_per_liter,trading_economics,0.31,,,1.462,0.4862615588,242.03,0.98,0.3035649889,0.4761676925,0.1826965699
